"Promotion ID","Advertiser","Advertiser ID","Type","Code","Description","Starts","Ends","Categories","Regions","Terms","Deeplink Tracking","Deeplink","Commission Groups","Commission","Exclusive","Date Added","Title","Campaign"
"4121355","Kabum BR","17729","promotion","","Cadeira Gamer Mymax Mx5, Até 150 Kg, Giratória, Preta E Vermelha","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F354731","https://www.kabum.com.br/produto/354731","","","no","22/09/2026 16:27:01","Cadeira Gamer Mymax Mx5, Até 150 Kg, Giratória, Preta E Vermelha",""
"4121354","Kabum BR","17729","promotion","","Placa De Rede Tp-Link Ac1200 Wireless, Dual Band Archer Pci Express - T4e 2916","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F213982","https://www.kabum.com.br/produto/213982","","","no","22/09/2026 16:26:52","Placa De Rede Tp-Link Ac1200 Wireless, Dual Band Archer Pci Express - T4e 2916",""
"4121353","Kabum BR","17729","promotion","","Cadeira Gamer Draxen Dn2, 150 Kg, Altura Ajustáveis, Reclinação, Com Almofadas, Preto","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F175912","https://www.kabum.com.br/produto/175912","","","no","22/09/2026 16:26:44","Cadeira Gamer Draxen Dn2, 150 Kg, Altura Ajustáveis, Reclinação, Com Almofadas, Preto",""
"4121352","Kabum BR","17729","promotion","","Placa Mãe Msi Pro B840m-P Wifi6e, Chipset B840, Amd Am5, Matx, Ddr5","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F939373","https://www.kabum.com.br/produto/939373","","","no","22/09/2026 16:26:35","Placa Mãe Msi Pro B840m-P Wifi6e, Chipset B840, Amd Am5, Matx, Ddr5",""
"4121351","Kabum BR","17729","promotion","","Monitor Gamer 27” 200hz 1ms Full Hd Rosa Aitek Delta M2713ra Freesync G-Sync Hdmi Dp","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F956231","https://www.kabum.com.br/produto/956231","","","no","22/09/2026 16:26:25","Monitor Gamer 27” 200hz 1ms Full Hd Rosa Aitek Delta M2713ra Freesync G-Sync Hdmi Dp",""
"4121350","Kabum BR","17729","promotion","","Memória Kingston Sodimm, 8gb, 3200mhz, Ddr4, 1.2v - Kvr32s22s6/8","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F390564","https://www.kabum.com.br/produto/390564","","","no","22/09/2026 16:26:16","Memória Kingston Sodimm, 8gb, 3200mhz, Ddr4, 1.2v - Kvr32s22s6/8",""
"4121349","Kabum BR","17729","promotion","","Echo Dot (5ª Geração) Amazon, Com Alexa, Smart Speaker, Branca","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F467286","https://www.kabum.com.br/produto/467286","","","no","22/09/2026 16:26:07","Echo Dot (5ª Geração) Amazon, Com Alexa, Smart Speaker, Branca",""
"4121348","Kabum BR","17729","promotion","","Cooler Para Gabinete Rise Mode Hex Turbine 120mm Arbg 2000rpm - Rm-H-Argb-Tor-B","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F628188","https://www.kabum.com.br/produto/628188","","","no","22/09/2026 16:25:58","Cooler Para Gabinete Rise Mode Hex Turbine 120mm Arbg 2000rpm - Rm-H-Argb-Tor-B",""
"4121347","Kabum BR","17729","promotion","","Monitor Mymax 21.5'' Resolução: 1920 X. 1080 Tempo De Resposta: 5 Ms Full Hd, Hdmi, Vga 100/240v","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F396491","https://www.kabum.com.br/produto/396491","","","no","22/09/2026 16:25:48","Monitor Mymax 21.5'' Resolução: 1920 X. 1080 Tempo De Resposta: 5 Ms Full Hd, Hdmi, Vga 100/240v",""
"4121346","Kabum BR","17729","promotion","","Controlador De Fan E Hub Deepcool Fh-10, Com 10 Saídas, 3 E 4 Pinos, Função Pwm - Dp-F10pwm-Hub","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F188305","https://www.kabum.com.br/produto/188305","","","no","22/09/2026 16:25:39","Controlador De Fan E Hub Deepcool Fh-10, Com 10 Saídas, 3 E 4 Pinos, Função Pwm - Dp-F10pwm-Hub",""
"4121345","Kabum BR","17729","promotion","","Mini Pc Cpu Intel Core I5 4570 +16gb Ram+ Ssd 240gb+Wifi+Win 11","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F871137","https://www.kabum.com.br/produto/871137","","","no","22/09/2026 16:25:30","Mini Pc Cpu Intel Core I5 4570 +16gb Ram+ Ssd 240gb+Wifi+Win 11",""
"4121344","Kabum BR","17729","promotion","","Adaptador Usb Tipo C 5 Em 1 Hdmi 4k 3 Usb 3.0 Usb-C Pd 100w - 15596","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F514482","https://www.kabum.com.br/produto/514482","","","no","22/09/2026 16:25:20","Adaptador Usb Tipo C 5 Em 1 Hdmi 4k 3 Usb 3.0 Usb-C Pd 100w - 15596",""
"4121343","Kabum BR","17729","promotion","","Placa De Vídeo Galax Geforce Gt 730, 4gb, Ddr3, 128bits - 73gqf8hx00hd","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F520149","https://www.kabum.com.br/produto/520149","","","no","22/09/2026 16:25:10","Placa De Vídeo Galax Geforce Gt 730, 4gb, Ddr3, 128bits - 73gqf8hx00hd",""
"4121342","Kabum BR","17729","promotion","","Hd Externo Seagate Expansion, Ps4, Xbox, 1tb - Stgx1000400","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F586382","https://www.kabum.com.br/produto/586382","","","no","22/09/2026 16:25:00","Hd Externo Seagate Expansion, Ps4, Xbox, 1tb - Stgx1000400",""
"4121341","Kabum BR","17729","promotion","","Processador Intel Core Ultra 7 265kf Arrow Lake 3.9ghz 5.5ghz","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F677875","https://www.kabum.com.br/produto/677875","","","no","22/09/2026 16:24:50","Processador Intel Core Ultra 7 265kf Arrow Lake 3.9ghz 5.5ghz",""
"4121340","Kabum BR","17729","promotion","","Caixa De Som Para Pc, 32w Rms, Design Transparente, Bluetooth 5.4, Rgb Interativo, Bivolt | G2000 Pro Edifier - Branco","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F988942","https://www.kabum.com.br/produto/988942","","","no","22/09/2026 16:24:39","Caixa De Som Para Pc, 32w Rms, Design Transparente, Bluetooth 5.4, Rgb Interativo, Bivolt | G2000 Pro Edifier - Branco",""
"4121339","Kabum BR","17729","promotion","","Gabinete K-Mex Gm-02ck Slim, Micro Atx, Usb, Com Fonte E Cabo","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F482297","https://www.kabum.com.br/produto/482297","","","no","22/09/2026 16:24:31","Gabinete K-Mex Gm-02ck Slim, Micro Atx, Usb, Com Fonte E Cabo",""
"4121338","Kabum BR","17729","promotion","","Mouse Gamer Attack Shark X3 Pro 4k/8k Wireless Tri-Mode Paw3395 26.000 Dpi, Vermelho","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F1028955","https://www.kabum.com.br/produto/1028955","","","no","22/09/2026 16:24:23","Mouse Gamer Attack Shark X3 Pro 4k/8k Wireless Tri-Mode Paw3395 26.000 Dpi, Vermelho",""
"4121337","Kabum BR","17729","promotion","","Gabinete Gamer Rise Mode Wave Black, Mid Tower, Lateral Em Vidro Fumê, Argb, Atx, 3 Cooler Fan Argb, Preto - Rm-Wa-Fb-Argb","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F895139","https://www.kabum.com.br/produto/895139","","","no","22/09/2026 16:24:14","Gabinete Gamer Rise Mode Wave Black, Mid Tower, Lateral Em Vidro Fumê, Argb, Atx, 3 Cooler Fan Argb, Preto - Rm-Wa-Fb-Argb",""
"4121336","Kabum BR","17729","promotion","","Nobreak Sms Tech 800va/400w, Interativo, Ent 115/ 220v, Sai 115v - 29302","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F474418","https://www.kabum.com.br/produto/474418","","","no","22/09/2026 16:24:05","Nobreak Sms Tech 800va/400w, Interativo, Ent 115/ 220v, Sai 115v - 29302",""
"4121335","Kabum BR","17729","promotion","","Fonte Corsair Cx750, 750w, 80 Plus Bronze, Pfc Ativo, C/ Cabo De Força, Atx, Preto - Cp-9020279-Br","22/09/2026 00:00:00","22/09/2026 23:59:59","Creative & Construction","Brazil",".","https://www.awin1.com/cread.php?awinmid=17729&awinaffid=3077915&ued=https%3A%2F%2Fwww.kabum.com.br%2Fproduto%2F543414","https://www.kabum.com.br/produto/543414","","","no","22/09/2026 16:23:56","Fonte Corsair Cx750, 750w, 80 Plus Bronze, Pfc Ativo, C/ Cabo De Força, Atx, Preto - Cp-9020279-Br",""
